epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.7626,1.06119,3.44942,1.27856,0.69562,0.13412,0.16206,0.10901,0.85007,2.26405,1.21831,0.000138261,0.000138261,0.000138261
2,102.426,1.11895,2.62126,1.34155,0.46214,0.23056,0.2081,0.155,0.86513,1.94097,1.23921,0.000263536,0.000263536,0.000263536
3,152.085,1.13857,2.42527,1.34173,0.35749,0.34479,0.24473,0.18362,0.86382,2.08153,1.22485,0.000375051,0.000375051,0.000375051
4,202.05,1.11931,2.36104,1.33644,0.37072,0.35038,0.29757,0.21235,0.85545,1.6604,1.22246,0.000355076,0.000355076,0.000355076
5,252.667,1.09706,2.22925,1.3124,0.53189,0.32061,0.32262,0.23888,0.88619,1.56043,1.26786,0.000334434,0.000334434,0.000334434
6,302.652,1.08263,2.1124,1.29865,0.48232,0.34236,0.35158,0.2641,0.82653,1.63392,1.19474,0.000313792,0.000313792,0.000313792
7,352.042,1.07006,2.04908,1.28272,0.60214,0.33808,0.3867,0.28513,0.83695,1.43408,1.19703,0.000293151,0.000293151,0.000293151
8,401.417,1.02926,1.95628,1.26699,0.39896,0.37821,0.34344,0.25299,0.85017,1.56061,1.20896,0.000272509,0.000272509,0.000272509
9,451.752,1.0317,1.86888,1.25834,0.57983,0.32184,0.36552,0.27359,0.80043,1.57512,1.17267,0.000251868,0.000251868,0.000251868
10,502.328,1.01069,1.82566,1.24471,0.40763,0.42706,0.38324,0.2974,0.78346,1.52335,1.15964,0.000231226,0.000231226,0.000231226
11,548.57,0.95898,1.77989,1.20658,0.5761,0.40353,0.41977,0.3119,0.79018,1.3186,1.14075,0.000210585,0.000210585,0.000210585
12,594.594,0.92732,1.62806,1.18295,0.58674,0.34733,0.42211,0.32605,0.76528,1.29073,1.13448,0.000189943,0.000189943,0.000189943
13,640.824,0.89081,1.52738,1.15358,0.46145,0.45846,0.44486,0.35124,0.74862,1.26957,1.12781,0.000169302,0.000169302,0.000169302
14,687.397,0.87561,1.4782,1.14414,0.61951,0.42197,0.45943,0.35993,0.70394,1.28856,1.0761,0.00014866,0.00014866,0.00014866
15,734.09,0.84667,1.38987,1.11712,0.62005,0.37684,0.45825,0.36255,0.72888,1.27925,1.09946,0.000128019,0.000128019,0.000128019
16,780.288,0.83807,1.31939,1.12069,0.65614,0.37902,0.47389,0.37171,0.71418,1.17265,1.09243,0.000107378,0.000107378,0.000107378
17,829.386,0.81735,1.25268,1.09509,0.60855,0.4214,0.48705,0.38787,0.70651,1.15627,1.08814,8.6736e-05,8.6736e-05,8.6736e-05
18,896.663,0.79628,1.21362,1.08562,0.58315,0.41693,0.48309,0.38729,0.68008,1.16518,1.05895,6.60945e-05,6.60945e-05,6.60945e-05
19,963.608,0.78602,1.16885,1.07583,0.40643,0.52119,0.49812,0.40133,0.68599,1.10549,1.0675,4.5453e-05,4.5453e-05,4.5453e-05
20,1030.43,0.77062,1.12748,1.076,0.63354,0.42303,0.50197,0.40531,0.68785,1.10799,1.06722,2.48115e-05,2.48115e-05,2.48115e-05
